scene,episode,reached_A,direct_reached_B,direct_spl_B,direct_len_B_m,direct_steps_B,direct_final_B_m,geometry_reached_B,geometry_spl_B,geometry_len_B_m,geometry_steps_B,geometry_final_B_m
e9zR4mvMWw7,episode_0000,1.0,0.0,0.0,8.059131230051088,270,2.176960737838841,0.0,0.0,5.983234145990817,192,1.9091002241430768
e9zR4mvMWw7,episode_0001,1.0,1.0,1.0,2.335405400965929,96,0.9866051177711962,1.0,0.7997295593041488,3.258931231465867,89,0.9651645366149816
rqfALeAoiTq,episode_0000,1.0,1.0,1.0,3.246358315761093,123,0.9735854037572356,1.0,0.7403966165644978,4.458220460782873,141,0.9679847514335244
rqfALeAoiTq,episode_0001,1.0,1.0,0.7626490076811866,2.694395736658836,95,0.972557317819827,1.0,0.6442356446432564,3.189637599144586,103,0.9670846117483444
s8pcmisQ38h,episode_0000,1.0,1.0,0.314299623000674,8.844849857688445,257,0.9791076288572722,1.0,0.3604701741583695,7.711963915626768,232,0.9845629261101888
s8pcmisQ38h,episode_0001,1.0,1.0,0.7645353493849196,3.636207940377766,116,0.998292667875092,1.0,0.5863102819137128,4.7415329287062855,151,0.9841844278431072
yqstnuAEVhm,episode_0000,1.0,1.0,1.0,3.796328920857757,116,0.9987656917587688,1.0,0.8719695216609415,4.602374381554078,129,0.9659785635556466
yqstnuAEVhm,episode_0001,1.0,1.0,1.0,2.9595029746068486,102,0.9891393653719244,1.0,1.0,2.8715665752152,78,0.9790251649101716
zsNo4HB9uLZ,episode_0000,1.0,1.0,0.4111076822966151,5.8133749346449575,189,0.9901931164548968,1.0,0.6050292735241832,3.950094979342514,137,0.9942992732405244
zsNo4HB9uLZ,episode_0001,0.0,0.0,0.0,0.0,0,5.026134538856643,0.0,0.0,0.0,0,5.026134538856643
