scene,episode,reached_A,reached_B_hybrid,reached_B_navdp,spl_A,spl_B_hybrid,spl_B_navdp,len_B_hybrid_m,len_B_navdp_m,steps_B_hybrid,steps_B_navdp,final_B_dist_hybrid_m,final_B_dist_navdp_m,path_nearest_dist_m
e9zR4mvMWw7,episode_0000,1,1,0,0.961165,0.336278,0.000000,10.627486,11.515738,349,309,0.992871,3.311268,0.344061
e9zR4mvMWw7,episode_0001,1,1,1,1.000000,1.000000,0.214769,1.996963,12.135172,56,343,0.994548,0.996265,1.317196
rqfALeAoiTq,episode_0000,1,1,0,1.000000,1.000000,0.000000,3.054694,13.164165,95,357,0.993416,7.158560,0.427237
rqfALeAoiTq,episode_0001,1,1,1,1.000000,0.606839,0.269055,3.386203,7.637394,122,214,0.997133,0.992878,0.220074
s8pcmisQ38h,episode_0000,1,1,0,1.000000,1.000000,0.000000,2.694367,9.235982,82,255,0.969525,5.438511,0.554640
s8pcmisQ38h,episode_0001,1,1,0,1.000000,0.983230,0.000000,2.827426,18.480964,94,500,0.999808,14.914812,0.230197
yqstnuAEVhm,episode_0000,1,1,0,1.000000,0.966821,0.000000,4.150849,11.140017,136,310,0.990852,6.045903,0.246169
yqstnuAEVhm,episode_0001,1,1,0,1.000000,1.000000,0.000000,2.388618,17.652756,65,500,0.964106,6.168595,0.653401
zsNo4HB9uLZ,episode_0000,1,1,1,1.000000,0.580885,0.261715,4.114281,9.131768,142,265,0.966761,0.976242,0.198003
zsNo4HB9uLZ,episode_0001,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,5.026135,5.026135,0.024846
